"last_name, first_name","player_id","year","p_era","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_avg_break","fastball_range_speed","n_breaking_formatted","breaking_avg_speed","breaking_avg_spin","breaking_avg_break_x","breaking_avg_break_z","breaking_avg_break","breaking_range_speed","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_spin","offspeed_avg_break_x","offspeed_avg_break_z","offspeed_avg_break","offspeed_range_speed",""
"Castillo, Luis","622491","2019","3.40","50.6","96.4","2130","-15.5","-21.5","18.7","1.3","16.9","85.9","2330","-0.4","-38.3","2.1","1.4","32.5","87.2","1972","-16.8","-34.3","17.3","1.1",
"Odorizzi, Jake","543606","2019","3.51","76.4","91.1","2218","-6.6","-19.3","17.4","3.9","6.5","75.4","2253","9","-61.9","14.9","1.4","17.1","85.2","1489","-11.5","-32.4","13.2","1.3",
"Lucchesi, Joey","664192","2019","4.18","64.9","90.2","2219","9.9","-20.2","17.2","1.4","35.1","78.9","2091","-1.7","-45.2","3","1.8",,,,,,,,
"Hendricks, Kyle","543294","2019","3.46","62.2","86.9","1987","-10.7","-25.2","16.3","1.2","9.8","71.4","2784","15.7","-68","19.6","1.4","28.1","78.6","2115","-13.1","-34.1","17.3","1.1",
"Means, John","607644","2019","3.60","50.8","91.7","2376","5.9","-13.3","20.8","1.3","20.3","81.6","2298","-4.4","-39","7.5","3.8","28.8","80.9","2331","12.3","-24.6","22.2","1.7",
"Giolito, Lucas","608337","2019","3.41","55","94.2","2333","-7.6","-12.3","19.8","1.4","18.8","83.4","2140","3.6","-38.3","9","2.8","26.2","81.7","1563","-10.2","-27.9","16.3","1.4",
"LeBlanc, Wade","453281","2019","5.71","58","85","1954","7","-26.7","14.9","1.7","10.9","72.5","2272","-13.2","-61.6","15.1","1.5","31.1","78.6","1544","14.1","-37.6","16","1.4",
"Boyd, Matthew","571510","2019","4.56","53.9","92","2381","10.5","-17.7","18.2","1.7","40.1","78.9","2363","-5.3","-47.5","6.5","3.1","6","79.1","1956","11.4","-32.3","16.3","1.2",
"deGrom, Jacob","594798","2019","2.43","49.2","96.9","2385","-5.8","-12.2","17.4","1.2","35","91.8","2460","3.3","-26","7.6","2.8","15.8","90.3","1702","-13.6","-28.6","14.4","1.5",
"Corbin, Patrick","571578","2019","3.25","53.7","91.8","2227","12.5","-19.9","18.2","1.6","40.6","80.5","2363","-3.6","-43.6","4.3","4.8","5.7","81.8","1646","10.6","-30.5","15.1","2.3",
